,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.0511,0.0488,0.9890000224113464,0.9879999756813049,4.0,200.0
1,0.056900000000000006,0.052700000000000004,0.9309999942779541,0.9729999899864197,5.0,200.0
2,0.067,0.055900000000000005,0.8299999833106995,0.9409999847412109,6.0,200.0
3,0.0825,0.062200000000000005,0.6753246784210205,0.8781218528747559,7.0,200.0
4,,0.07490000000000001,0.5,0.7509999871253967,8.0,200.0
5,,,0.5,0.5,9.0,200.0
6,,,0.5,0.5,10.0,200.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
