,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.47990000000000005,0.48700000000000004,0.985858142375946,0.978251576423645,4.0,100.0
1,0.48160000000000003,0.49250000000000005,0.9976235032081604,0.9911138415336609,5.0,100.0
2,0.4824,0.4949,0.9901442527770996,0.9971550703048706,6.0,100.0
3,0.4828,0.49610000000000004,0.9865954518318176,1.0,7.0,100.0
4,0.48300000000000004,0.49670000000000003,0.9849412441253662,0.998694896697998,8.0,100.0
5,0.48310000000000003,0.497,0.9840697050094604,0.9979962110519409,9.0,100.0
6,0.48310000000000003,0.49710000000000004,0.9835852384567261,0.9975978136062622,10.0,100.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
