,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.2816666666666667,0.33399999999999996,0.9225000143051147,0.9990000128746033,4.0,200.0
1,0.23225,0.24075,0.9645000100135803,0.9815000295639038,5.0,200.0
2,0.164,0.1545,0.9919999837875366,0.9635000228881836,6.0,200.0
3,0.10890000000000001,0.08710000000000001,0.9555222392082214,0.9355322122573853,7.0,200.0
4,0.10505555555555554,0.07372222222222222,0.5544999837875366,0.8364999890327454,8.0,200.0
5,0.05835294117647059,0.031264705882352944,0.5080000162124634,0.968500018119812,9.0,200.0
6,,0.01946969696969697,0.5,0.8575000166893005,10.0,200.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
