,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.11175925925925925,0.1028395061728395,0.9674999713897705,0.9900000095367432,4.0,300.0
1,0.08068042813455657,0.08823547400611621,0.9325000047683716,0.9729999899864197,5.0,300.0
2,0.04255183413078149,0.04521132376395534,0.7319999933242798,0.7465000152587891,6.0,300.0
3,0.0790238670694864,0.08234934541792548,0.9514999985694885,0.9704999923706055,7.0,300.0
4,0.1095,0.10350000000000001,0.9524999856948853,0.9825000166893005,8.0,300.0
5,0.12714540000000002,0.12369295000000001,0.9660000205039978,0.9804999828338623,9.0,300.0
6,0.22799999999999998,0.22414285714285714,0.9680159687995911,0.977011501789093,10.0,300.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
