,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.4234,0.2861,0.9536104798316956,0.8065138459205627,4.0,30.0
1,0.4298,0.30960000000000004,0.9604671001434326,0.8316906094551086,5.0,30.0
2,0.433,0.3209,0.9638954401016235,0.8437968492507935,6.0,30.0
3,0.4345,0.32630000000000003,0.9655024409294128,0.8495821952819824,7.0,30.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
