,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.48300000000000004,0.47740000000000005,0.9825369715690613,0.988536536693573,4.0,20.0
1,0.4874,0.4854,0.996383547782898,0.9984501004219055,5.0,20.0
2,0.4894,0.4893,0.9972566366195679,0.9971550703048706,6.0,20.0
3,0.4904,0.4912,0.9942551851272583,0.995061457157135,7.0,20.0
4,0.4909,0.49210000000000004,0.9928721785545349,0.9940769076347351,8.0,20.0
5,0.4912,0.49260000000000004,0.9921851754188538,0.9935877919197083,9.0,20.0
6,0.4913,0.4928,0.991792619228363,0.9932939410209656,10.0,20.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
