,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.1135432098765432,0.11826543209876543,0.9589999914169312,0.9365000128746033,4.0,100.0
1,0.0630519877675841,0.07844189602446483,0.8379999995231628,0.9204999804496765,5.0,100.0
2,0.027053429027113236,0.03136363636363636,0.6474999785423279,0.6710000038146973,6.0,100.0
3,0.043931319234642496,0.04358126888217523,0.7509999871253967,0.7490000128746033,7.0,100.0
4,0.07690000000000001,0.08270000000000001,0.8845000267028809,0.9135000109672546,8.0,100.0
5,0.06142980000000001,0.048453350000000006,0.7580000162124634,0.703499972820282,9.0,100.0
6,0.10735714285714285,0.08614285714285713,0.7506247162818909,0.7011494040489197,10.0,100.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
