,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.20020000000000002,0.2079,0.9994999766349792,0.9802500009536743,4.0,300.0
1,0.1995,0.20520000000000002,0.9987499713897705,0.9869999885559082,5.0,300.0
2,0.1973,0.2026,0.9932500123977661,0.9934999942779541,6.0,300.0
3,0.1948,0.2003,0.9869999885559082,0.9992499947547913,7.0,300.0
4,0.2237,0.2255,0.940750002861023,0.9362499713897705,8.0,300.0
5,0.2069,0.2066,0.9827499985694885,0.9835000038146973,9.0,300.0
6,0.2025,0.2036,0.9937499761581421,0.9909999966621399,10.0,300.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
