,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.29133333333333333,0.318,0.9369999766349792,0.9769999980926514,4.0,200.0
1,0.21375,0.23800000000000002,0.9275000095367432,0.9760000109672546,5.0,200.0
2,0.143,0.162,0.9290000200271606,0.9860000014305115,6.0,200.0
3,0.0903,0.10790000000000001,0.9515242576599121,0.9605197310447693,7.0,200.0
4,0.08172222222222221,0.10883333333333332,0.7645000219345093,0.5205000042915344,8.0,200.0
5,0.041382352941176474,0.05632352941176471,0.796500027179718,0.5425000190734863,9.0,200.0
6,,,0.5,0.5,10.0,200.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
