,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.4444,0.4087,0.9761088490486145,0.9378615617752075,4.0,30.0
1,0.44820000000000004,0.4142,0.9631122350692749,0.9279809594154358,5.0,30.0
2,0.4501,0.4167,0.9573257565498352,0.9233895540237427,6.0,30.0
3,0.4511,0.41800000000000004,0.9546462297439575,0.9212860465049744,7.0,30.0
4,0.4516,0.4186,0.9534183144569397,0.9202890992164612,8.0,30.0
5,0.45180000000000003,0.4189,0.9527101516723633,0.919747531414032,9.0,30.0
6,0.4519,0.41910000000000003,0.9523571133613586,0.9195275902748108,10.0,30.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
