,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.31866666666666665,0.33899999999999997,0.9779999852180481,0.9915000200271606,4.0,200.0
1,0.23875000000000002,0.247,0.9775000214576721,0.9940000176429749,5.0,200.0
2,0.1635,0.16066666666666665,0.9904999732971191,0.9819999933242798,6.0,200.0
3,0.1078,0.09480000000000001,0.9610195159912109,0.9740129709243774,7.0,200.0
4,0.10949999999999999,0.08477777777777777,0.5145000219345093,0.7369999885559082,8.0,200.0
5,0.05808823529411765,0.038264705882352944,0.512499988079071,0.8495000004768372,9.0,200.0
6,,0.02668181818181818,0.5,0.6194999814033508,10.0,200.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
