,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.0451,0.0488,0.9509999752044678,0.9879999756813049,4.0,100.0
1,0.050100000000000006,0.0524,0.9990000128746033,0.9760000109672546,5.0,100.0
2,0.0589,0.0562,0.9110000133514404,0.9380000233650208,6.0,100.0
3,0.07690000000000001,0.0639,0.7312687039375305,0.8611388802528381,7.0,100.0
4,,0.07930000000000001,0.5,0.7070000171661377,8.0,100.0
5,,,0.5,0.5,9.0,100.0
6,,,0.5,0.5,10.0,100.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
