,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.27899999999999997,0.3383333333333333,0.9185000061988831,0.9925000071525574,4.0,200.0
1,0.20775000000000002,0.24625,0.9154999852180481,0.9925000071525574,5.0,200.0
2,0.14416666666666667,0.16066666666666665,0.9325000047683716,0.9819999933242798,6.0,200.0
3,0.0971,0.095,0.9855072498321533,0.975012481212616,7.0,200.0
4,0.0935,0.08344444444444443,0.6585000157356262,0.7490000128746033,8.0,200.0
5,0.053647058823529416,0.03685294117647059,0.5879999995231628,0.8734999895095825,9.0,200.0
6,,0.024893939393939392,0.5,0.6784999966621399,10.0,200.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
