,b2_sll,b2_sl,ssl_acc,sl_acc,n,number1
0,0.09629295,0.0865241,0.9484999775886536,0.902999997138977,4.0,30.0
1,0.02714388489208633,0.02560071942446043,0.8429999947547913,0.8234999775886536,5.0,30.0
2,0.022992700729927006,0.021514598540145983,0.8500000238418579,0.8274999856948853,6.0,30.0
3,0.02068181818181818,0.019279155188246095,0.8464999794960022,0.8230000138282776,7.0,30.0
4,0.1847,0.17200000000000001,0.5764999985694885,0.6399999856948853,8.0,30.0
5,,,0.49975013732910156,0.49975013732910156,9.0,30.0
6,,,0.5,0.5,10.0,30.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
