0.8469770585	0.8471264949
0.8469770585	0.0001494365
0.9167944700	0.9168757254
0.9167944700	0.0000812554
0.9569089318	0.9569510130
0.9569089318	0.0000420811
0.8704209929	0.8705475349
0.8704209929	0.0001265420
0.8247917870	0.8249628888
0.8247917870	0.0001711018
0.7051309156	0.7054188737
0.7051309156	0.0002879581
0.6600551638	0.6603871412
0.6600551638	0.0003319774
0.9317013056	0.9317680035
0.9317013056	0.0000666979
0.5221987849	0.5226653877
0.5221987849	0.0004666027
0.5562000691	0.5566334674
0.5562000691	0.0004333984
0.5546952301	0.5551300981
0.5546952301	0.0004348679
0.8746949359	0.8748173042
0.8746949359	0.0001223682
0.5389441907	0.5393944405
0.5389441907	0.0004502498
0.7762688499	0.7764873374
0.7762688499	0.0002184875
0.6091731027	0.6095547696
0.6091731027	0.0003816669
